Screen Name,Name,Description,URL,Location,Time Zone,Number of Tweets,Followers Count,Following ,Listed
@openmindpd,Patrick J. Dietzen,"Love building new technology companies. Founder of Sirigen (now part of BDX).  Handle Business Dev & Operations at SaurikIT/Cydia. Into science, tech, nature.",http://t.co/nPMJY29WD3,"Santa Barbara, CA",Pacific Time (US & Canada),1250,847,324,7
@ricksegal,Rick Segal,Tech Guy,http://t.co/7C4CvXg2,"ÜT: 44.013005,-79.417757",Eastern Time (US & Canada),281,1476,60,160
@TeddyDowney,Teddy Downey,"CEO, Executive Editor of The Capitol Forum, which provides investigative news and in-depth legal analysis. Die-hard NY Giants fan.",http://t.co/L2MyfR3pR2,Washington DC,Quito,277,457,1475,14
@AndyClib,Andy Clibanoff,Business Healthcare Analytics Consultant,https://t.co/faz8OE8XsG,"Philadelphia, PA",Eastern Time (US & Canada),1512,179,59,4
@Kellblog,Dave Kellogg,"CEO of Host Analytics, the leader in cloud-based enterprise performance management.  See FAQ on Kellblog for disclaimers, including list of affiliations.",http://t.co/0PROWyevYc,"Silicon Valley, CA",Pacific Time (US & Canada),16007,6746,2399,612
@samstahl,sam stahl,SVP of Sales at @Bustle. Always a righteous dude. Huge fan of GAAP revenue.,https://t.co/1reZ7CzRKA,New York NY,Eastern Time (US & Canada),1103,608,809,11
@CharlieArdagh,Charlie Ardagh,Your guess is as good as mine..,,Ireland (Palo Alto often),Casablanca,551,285,256,12
@softwaregravy,John Hinnegan,"TechGuy @ ThinkNear.  
Software entrepreneur and finance enthusiast.",,,Quito,580,328,327,15
@illjunior,Harout Khandjian,"C.F.O., and Co-Founder of http://t.co/7NgIKzNm ..... Click on my twitter profile link to see how @itsMyURLs works!",http://t.co/5CffYafypz,"ÜT: 36.101067,-115.157861",Pacific Time (US & Canada),19584,1454,1374,22
@gerster,David Gerster,"Data scientist, investor and advisor.",http://t.co/bFf5keJdxL,San Francisco Bay Area,Pacific Time (US & Canada),1126,617,379,79
@bgurley,Bill Gurley,"VC @Benchmark, BOD: @Uber, @Hacker0x01, @Nextdoor, @Lindenlab, @Sailthru, @DogVacay, @StitchFix, @Vessel, @Brightercom Former: @OpenTable, @Zillow, @Grubhub",https://t.co/k5pH0oGDTr,Silicon Valley,Pacific Time (US & Canada),5828,370685,848,4179
@mitch__lowe,Mitch Lowe,"Co-founder of Netflix and Redbox's former President. Former CEO at Quarterly. Currently Board Advisor Alchemy, Skywriter, Spray, Wishcloud.",,,Pacific Time (US & Canada),179,386,147,9
@MartinShkreli,Martin Shkreli,Pharmaceutical Entrepreneur,,NYC,Atlantic Time (Canada),8764,115712,488,628
@DanMindus,Dan Mindus,NextGen Venture Partners,http://t.co/Npp9DpAwcL,"Washington, DC",Atlantic Time (Canada),117,869,8,39
@vlasso,jon vlassopulos,Founder @tryfabric & angel investor @fitbit @laurelandwolf @theleague @ticketfly @outdoorsy @vangoart overall curious cat aka Mr. V https://t.co/xhfVF8b7bF,https://t.co/0J1shAPpmT,San Francisco,Pacific Time (US & Canada),3426,1669,1977,167
@sudheenair,Sudheesh Nair,"President, #Nutanix. Investor & Advisor at @ThoughtSpot and @RubrikInc #Startups #Sales",http://t.co/ZTYTM1orXi,,Pacific Time (US & Canada),8189,6094,409,77
@getgili,Gil Canaani,,,,,46,352,1113,8
@kartmann,Ortwin Kartmann,Founder & CTO @ Shopgate,http://t.co/NzTTHLBfsp,Butzbach,Berlin,2110,765,110,21
@darrenconte,darrenconte,"tech ceo @siftsort, creative thinker, winemaker, furniture refinisher, overall funny guy aka Uncle Fun. I also make my wife laugh - which is a good thing.",,NYC,Eastern Time (US & Canada),102,16,34,3
@venturehacks,Venture Hacks,Startup advice from the founders of @angellist.,http://t.co/pWJUvox33g,,Pacific Time (US & Canada),3203,164416,3,5173
@cfaydi,Clément Faydi,"Principal Designer at @Behance/@Adobe, working on @AdobePortfolio",https://t.co/qAU4HODPpP,"New York, NY",Eastern Time (US & Canada),6148,1687,419,119
@RobotLaunch,Andra Keay,"Bringing robots into the real world, startup by startup, event by event. @svrobo @robogard @robohub #robotlaunch",https://t.co/Yjpc2gzrFg,Silicon Valley,Pacific Time (US & Canada),8901,6530,998,276
@jim95762,jim95762,Retired tech exec. Part time investor. Full time home brewer.,,,Pacific Time (US & Canada),880,59,54,5
@MatthewLSiegel,Matthew Siegel,Tech and media entrepreneur & strategist. Chief Digital Officer at Roc Nation.,,New York,Eastern Time (US & Canada),955,527,247,29
@tcurran33,Tim Curran,"Father, husband, CEO Sample6, making the food we all eat safer.",http://t.co/ugAqfO1afD,boston,,36,165,312,13
@BlakeKassel,Blake Kassel,,,,,11,20,1,0
@ThomasLe0n,Thomas Griffin,"men make to find and, in finding, love.
founder/ceo @artsquareapp.",http://t.co/lpWF3t3VCQ,Silicon Valley,Mountain Time (US & Canada),567,285,470,36
@JohnMBusby,John Busby,"Digital advertising, mobile marketing, call analytics & other non sequiturs. SVP Marketing & Consumer Insights @Marchex. Opinions are my own.",http://t.co/ZHm3ZM52iS,Seattle,Pacific Time (US & Canada),1005,913,193,87
@JitendraGupta,Jitendra Gupta,Founder/Products Punchh,http://t.co/JO6ZPbKMjZ,"CA, USA",Pacific Time (US & Canada),1309,521,196,25
@howard,Howard Lerman,Chasing White Whales,,,Eastern Time (US & Canada),9041,4274,1582,257
@ahpah,Paul Martino,"Present: Co-founder & GP at @BullpenCap, early-stage VC firm. Past: Founder of Aggregate Knowledge (sold), Tribe (sold), Computer Scientist.",http://t.co/dPpLkUpIGz,"Doylestown, PA",Pacific Time (US & Canada),34,664,9,60
@adamerlebacher,adamerlebacher,Co-Founder at something new,http://t.co/qEk0Q5oRbe,New York,Eastern Time (US & Canada),629,713,384,43
@ArnonRosan,Arnon Rosan,"Entrepreneur, Angel Investor, Traveler, Surfer, 6x Founder, #Startup junkie. CEO.  Having fun building with blocks @everblock",https://t.co/u71CDQiesv,New York,Eastern Time (US & Canada),244,297,1086,39
@sachinduggal,Sachin Dev Duggal,"I love technology, people and entrepreneurs and of course love  @shoto, @popexpert, @beas_bloomsbury and our foundation for teaching kids",http://t.co/D3HwkAlAJ2,San Fran & London & Delhi ,London,5962,8330,360,76
@tgibby,Todd Gibby,"CEO @BoardEffect, visual learner, white-board addict, dog-lover, diabetes-hater, frequent loser of wallets & keys.",http://t.co/UayONXLUvt,"Washington, DC",Eastern Time (US & Canada),944,1284,1314,57
@kalomarNYC,Karl Alomar,"Being a part of building exciting companies is a passion, not a job! Seeing it every day as COO of @DigitalOcean",,New York,Eastern Time (US & Canada),109,260,86,10
@Jan_Beckers,Jan Beckers,"Serial Entrepreneur, Founder & CEO of HitFox Group.",http://t.co/4H9c3MQCfF,Berlin,Berlin,215,1766,196,87
@mkjung,Mike Jung,Looking for the next new new thing,,Silicon Valley,Pacific Time (US & Canada),2027,1721,606,86
@cookflix,Jim Cook,"Mozilla CFO; Netflix; Intuit; Dad, gadget freak, sports nut",http://t.co/2EgzwR7DyH,"Portola Valley, CA",Pacific Time (US & Canada),944,888,491,58
@Grindr,Grindr,"#0feetaway since 2009.

Work: @GrindrLabs
Community: @Grindr4Equality",http://t.co/Jk2kKyxKNY,"Los Angeles, CA",Pacific Time (US & Canada),6707,77091,5,499
@KenHowery,Ken Howery,"Co-founder and Partner, Founders Fund; Co-founder, PayPal",http://t.co/OoFfR2fwiG,"San Francisco, CA",Pacific Time (US & Canada),75,3822,575,233
@davidli,David Li,Internet and Mobile Entrepreneur and Investor,,"Mountain View, CA USA",Pacific Time (US & Canada),146,692,259,43
@_aj,AJ Asver,"Entrepreneur, @ycombinator alum, DJ and music producer.",,San Francisco,America/Chicago,1446,765,1056,46
@pmoe,Philipp Moehring,"Startup Investor - All Things Europe @AngelList, Venture Partner @500Startups. Connecting Berlin, London, San Francisco. My syndicate: https://t.co/EOJ9nfVqx2",https://t.co/W0yKqoJSv9,"Berlin, Germany",Berlin,13402,11507,2191,556
@JimCameron,James Cameron,,,"Los Angeles, CA",Pacific Time (US & Canada),100,629168,60,6760
@dineshloveslife,Dinesh Ravishanker,Ask me about my app. :),,West LA,Pacific Time (US & Canada),363,907,1542,44
@M3aloney,Matt Maloney,"I founded GrubHub, I know who delivers.",http://t.co/Jqkku625Kb,"Chicago, IL",Central Time (US & Canada),1283,4731,164,178
@jmurz,Jonathan Murray,Internet Entrepreneur. Blues lover. Philly sports fan. Proud dad. Not in that order.,http://t.co/t7eRnEVHp7,,Pacific Time (US & Canada),306,302,412,12
@alexstamos,Alex Stamos,"CSO @ Facebook, but this account is personal.",https://t.co/SRHOpu1Hel,"San Francisco, CA",Pacific Time (US & Canada),735,13784,787,578
@BrianNorgard,Norgard,,,,Pacific Time (US & Canada),18155,12168,3572,475
@joshreznick,Josh Reznick,Founder & CEO of Datalot.  Information Enthusiast.,http://t.co/uKwBaJsFhp,Brooklyn NY,Eastern Time (US & Canada),1038,552,164,37
@lyuben,lyuben belov,Entrepreneur (serial). Believer (constant). Doer. VC (recent). Father (proud). All of the above- at least willing to be.,,sofia,Athens,1173,1199,211,60
@RampRateTony,RampRateTony,"Buy new services: 6x faster purchase cycles & 98% less risk in 100 countries
Optimize & Renegotiate deals: Slash IT OPEX cost +-24% & fund new projects",http://t.co/cZPRQCMBiR,"Santa Monica, CA",Pacific Time (US & Canada),5409,2703,1894,346
@FabriceSergent,Fabrice Sergent,"Co-Founder & CEO @Bandsintown Group, Board Member @MobileGivingOrg. Electronic music fan, jazz & french surrealist poetry explorer",https://t.co/StwdSZnvTZ,"New York, NY",Eastern Time (US & Canada),906,1115,1054,60
@aradmand,Arian Radmand,Founder / Director of Engineering @CoachUp. We help kids change the trajectory of their lives through sports.  I'm also an avid sailor and skier.,http://www.coachup.com,"Brookline, MA",Central Time (US & Canada),1024,470,345,30
@sunairventures,David Austin,Sunair Ventures invests in early stage technology startups. My focus is on consumer products that change the way people live and work.,http://t.co/c7X6aFDL0G,San Francisco Bay Area,Pacific Time (US & Canada),93,160,47,19
@martinn123,nisenholtz,,,"New York, NY",Alaska,817,1505,133,76
@JustinSomaini,Justin Somaini,"Chief Security Officer @SAP.  Previously, CTO &BoxHQ, CISO @Yahoo and @Symantec. Discussions on the security industry and our organizations. Opinions are my own",https://t.co/yuggSkDdBQ,San Francisco,Pacific Time (US & Canada),1111,817,179,36
@mojism,moj mahdara,"Founder of Made with Elastic and CEO of Beautycon - Early Stage Tech Adopter, Digital Devotee, Cultural Steward, with a Black Belt in Entertainment Marketing.",http://t.co/CSpZBo8yym,Los Angeles,Pacific Time (US & Canada),2794,1395,623,56
@larryellison,Larry Ellison,,http://t.co/j6iuRaAIX0,,Pacific Time (US & Canada),1,91360,67,1054
@JWhitehurst,Jim Whitehurst,President and CEO @RedHatNews and author @OpenOrgBook.,http://t.co/jf3wfD2gkH,"Raleigh, N.C.",Central Time (US & Canada),1640,11711,61,436
@DanielDarling,Daniel Darling,Managing director at Darling Ventures - investing in mobile technology and data intelligence startups,https://t.co/aIagj74f9Q,San Francisco,Pacific Time (US & Canada),2713,913,426,51
@nirenhiro,Niren Hiro,"media & tech addict, co-founder & ceo, http://t.co/fieJCBgx follow @SearchManSEO",http://t.co/ohf1ReLwuF,"Mountain View, CA",Pacific Time (US & Canada),128,616,1304,45
@benkeighran,Ben Keighran,"Design lead at Apple, Entrepreneur, Snowboarder, Dreamer, Dad.",http://t.co/P5iisIEcTJ,"San Francisco, CA",Hawaii,1571,2084,189,98
@SethTeicher,Seth Teicher,Make no little plans.,http://t.co/Ztah2HmS7I,San Francisco,Eastern Time (US & Canada),1400,467,666,11
